paragraphs,section_tag_3,title_meta_data,cross-ref,vessel_type
"Where repair by welding or where cladding by welding is contemplated, steel used for propulsion shafts is to have carbon content in accordance with 2-3-7/1.3.4 of the ABS Rules for Materials and Welding (Part 2). For approval of welding of the shaft, refer to Section 7-A1-11 ""Repair and Cladding of Shafts"" of the ABS Rules for Survey After Construction (Part 7).",4-3-2/3.3,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '3 Materials ', '3.3 Weldability']",2-3-7/1.3.4,all vessels
"Liners are to be of bronze, stainless steel or other approved alloys and are to be free from porosity and other defects. Continuous liners are to be in one piece or, if made of two or more lengths, the joining of the separate pieces is to be done by an approved method of welding through not less than two-thirds the thickness of the liner or by an approved rubber seal arrangement.",4-3-2/3.5,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '3 Materials ', '3.5 Shaft Liners ']",standalone,all vessels
"Materials for all torque-transmitting parts, including shafts, clutches, couplings, coupling bolts and keys are to be tested in the presence of the Surveyor. The materials are to meet the specifications of 2-3-7/5, 2-3-7/3 and 2-3-8/2 of the ABS Rules for Materials and Welding (Part 2) or other specifications approved in connection with the design.",4-3-2/3.7.1,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '3 Materials ', '3.7 Material Tests ', '3.7.1 General ']",2-3-7/3,all vessels
"Materials for all torque-transmitting parts, including shafts, clutches, couplings, coupling bolts and keys are to be tested in the presence of the Surveyor. The materials are to meet the specifications of 2-3-7/5, 2-3-7/3 and 2-3-8/2 of the ABS Rules for Materials and Welding (Part 2) or other specifications approved in connection with the design.",4-3-2/3.7.1,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '3 Materials ', '3.7 Material Tests ', '3.7.1 General ']",2-3-7/5,all vessels
"Materials for all torque-transmitting parts, including shafts, clutches, couplings, coupling bolts and keys are to be tested in the presence of the Surveyor. The materials are to meet the specifications of 2-3-7/5, 2-3-7/3 and 2-3-8/2 of the ABS Rules for Materials and Welding (Part 2) or other specifications approved in connection with the design.",4-3-2/3.7.1,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '3 Materials ', '3.7 Material Tests ', '3.7.1 General ']",2-3-8/2,all vessels
"Tapered tail shafts: the forward one-third length of the taper, including the forward end of any keyway and an equal length of the parallel part of the shaft immediately forward of the taper.  (2024)",4-3-2/3.7.3(a),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '3 Materials ', '3.7 Material Tests ', '3.7.3 Inspections and Nondestructive Tests ', '\nTapered tail shafts: the forward one-third length of the taper', ' including the forward end of any keyway and an equal length of the parallel part of the shaft immediately forward of the taper.  (2024)']",standalone,all vessels
Flanged tail shafts: the flange fillet area.  (2024),4-3-2/3.7.3(b),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '3 Materials ', '3.7 Material Tests ', '3.7.3 Inspections and Nondestructive Tests ', '\nFlanged tail shafts: the flange fillet area.  (2024)']",standalone,all vessels
"D





=


greater of the required solid shaft diameter as required by 4-3-2/5 or 4-3-2/7.5 through 4-3-2/7.9 (reflective of static and dynamic stresses), except hollow shaft; mm (in.)








d
i






=


diameter of internal bore; mm (in.)







H





=


power at rated speed; kW (PS, hp) (1 PS = 735W; 1 hp = 746W) 







K





=


shaft design factor, see 4-3-2/5 TABLE 1 or 4-3-2/5 TABLE 2







R





=


rated speed rpm 







U





=


minimum specified ultimate tensile strength of shaft material (regardless of the actual minimum specified tensile strength of the material, the value of U used in these calculations is not to exceed that indicated in 4-3-2/5 TABLE 3; N/mm2 (kgf/mm2, psi). Where materials with greater specified or actual tensile strengths than the limitations given above are used, reduced shaft dimensions or higher permissible vibration stresses are not acceptable when derived from the formulae in this section unless the ABS verifies that the materials exhibit similar fatigue life as conventional steels (see Appendix 4-3-2-A1)







e





=


slot width, mm (in.)







â





=


slot length, mm (in.)",4-3-2/5.1,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.1 Shaft Diameters']",standalone,
"c
1






=


560 (41.95, 3.695)


for vessels 45.7 m (150 ft) in length and over



 

=


472.5 (35.4, 3.12)


for vessels 20 m (65 ft) and over, but below 45.7 m (150 ft), where the material of the shaft is Grade 2 and the shaft is protected








c
1






=


540 (40.3, 3.55)


for vessels 20 m (65 ft) and over, but below 45.7 m (150 ft), for all other materials and unprotected Grade 2 shaft material



 

=


416.4 (31.22, 2.75)


for vessels below 20 m (65 ft)








c
2






=


160 (16.3, 23180)

 ",4-3-2/5.1,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.1 Shaft Diameters']",standalone,
"For the purposes of using shaft diameter formulas in this section, the following definitions apply. See 4-3-2/Figure 1 and 4-3-2/Figure 2 for typical shaft arrangements.",4-3-2/1.3,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '1 General ', '1.3 Definitions  (2024)']",4-3-2/Figure 1,all vessels
"For the purposes of using shaft diameter formulas in this section, the following definitions apply. See 4-3-2/Figure 1 and 4-3-2/Figure 2 for typical shaft arrangements.",4-3-2/1.3,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '1 General ', '1.3 Definitions  (2024)']",4-3-2/Figure 2,all vessels
Tail Shaft is the part of the propulsion shaft aft of the forward end of the propeller end bearing.,4-3-2/1.3.1,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '1 General ', '1.3 Definitions  (2024)', '1.3.1 Tail Shaft ']",standalone,all vessels
"D
o






=


required outer diameter of shaft; mm (mm, in.).







D





=


solid shaft diameter required by 4-3-2/5.1; mm (mm, in.).








D
i






=


actual inner diameter of shaft; mm (mm, in.).",4-3-2/5.3,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.3 Hollow Shafts ']",standalone,
"As an alternative to the design equations shown in 4-3-2/5.1 and 4-3-2/5.3, shafting design is to be considered for approval on the basis of axial and torsional loads to be transmitted, bending moment and resistance against fatigue. A detailed stress analysis showing a factor of safety of at least 2.0 for fatigue failure is to be submitted for approval with all supporting data.",4-3-2/5.5,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.5 Alternative Criteria ']",4-3-2/5.1,all vessels
"As an alternative to the design equations shown in 4-3-2/5.1 and 4-3-2/5.3, shafting design is to be considered for approval on the basis of axial and torsional loads to be transmitted, bending moment and resistance against fatigue. A detailed stress analysis showing a factor of safety of at least 2.0 for fatigue failure is to be submitted for approval with all supporting data.",4-3-2/5.5,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.5 Alternative Criteria ']",4-3-2/5.3,all vessels
Stern Tube Shaft  or Tube Shaft  is the part of the propulsion shaft passing through the stern tube from the forward end of the propeller end bearing to the in-board shaft seal.,4-3-2/1.3.2,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '1 General ', '1.3 Definitions  (2024)', '1.3.2 Stern Tube Shaft ']",standalone,all vessels
Line Shaft  is the part of the propulsion shaft in-board of the vessel.,4-3-2/1.3.3,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '1 General ', '1.3 Definitions  (2024)', '1.3.3 Line Shaft ']",standalone,all vessels
Thrust Shaft  is that part of the propulsion shaft which transmits thrust to the thrust bearing.,4-3-2/1.3.4,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '1 General ', '1.3 Definitions  (2024)', '1.3.4 Thrust Shaft ']",standalone,all vessels
Oil Distribution Shaft  is a hollow propulsion shaft where the bore and radial holes are used for distribution of hydraulic oil in controllable pitch propeller installations.,4-3-2/1.3.5,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '1 General ', '1.3 Definitions  (2024)', '1.3.5 Oil Distribution Shaft ']",standalone,all vessels
FIGURE 1Typical Shaft Arrangement (2024),4-3-2/1.3.5 FIGURE 1,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '1 General ', '1.3 Definitions  (2024)', '1.3.5 Oil Distribution Shaft ']",standalone,
FIGURE 2Shaft Arrangement with Strut Bearing (2024),4-3-2/1.3.5 FIGURE 2,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '1 General ', '1.3 Definitions  (2024)', '1.3.5 Oil Distribution Shaft ']",standalone,
"The shaft alignment procedure is to be submitted for review and is to be based on the submitted shaft alignment calculations. As a minimum, the shaft alignment procedure is to include:",4-3-2/7.3.4,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '7 Propulsion Shaft Alignment and Vibrations ', '7.3 Shaft Alignment  (2024)', '7.3.4 Shaft Alignment Procedure  (2024)']",standalone,all vessels
"Bore Sighting. The bore sighting procedure is to be conducted in two stages, as follows:


Bore sighting before bearings fitting (not applicable for stern tube bearings installed by resin chocking), is to be conducted on the stern tube bore to verify:

The stern tube bore dimensions; in order to define dimensions and tolerance for the aft and the forward stern tube bush outside diameters machining
The stern tube bore misalignment, vertical and horizontal; in order to define angular corrections for stern tube bearing outside diameter machining

Commentary:
Whenever applicable, corrections are recommended to be by machining the outside bush diameter, rather than correcting the stern tube bore.

End of Commentary




Bore sighting after the stern tube bearings are fitted, is to verify:

The aft bush slope, as-installed. The measurement is to be taken with reference to the forward stern tube bush.
The horizontal misalignment between aft and the forward stern tube bearing

In cases with no forward stern tube bearing, the intermediate shaft bearing is to serve as a reference point to conduct sighting.


Sufficient number of targets are to be utilized during the sighting through to establish accuracy in verification of bearing slopes. The sighting target arrangement is to be included in the procedure. See 4-3-2/Figures 8 and 9 for bore sighting methods.
The bore sighting is to confirm:


The horizontal misalignment of all bearings is to be minimized and is not to exceed the clearance of adjacent bearings.


The slope boring angle is to be verified relative to the centerline connecting the aft and the forward stern tube bearing, or the intermediate shaft bearing in installations with no forward stern tube bearing. Acceptable tolerance is up to Â±0.1*10-3 [rad], with the following restriction:

The measured slope boring angle is never to result in misalignment greater than 0.3*10-3 [rad].




FIGURE 8 Bore Sighting - Piano Wire (2024)



FIGURE 9 Bore Sighting - Optical Instrument & Laser (2024)





Installations with no Forward Stern Tube Bearing. The following requirements are to be fulfilled in installations with no forward stern tube bearings:


The aft stern tube bearing is to be of the double or multi-slope design that provides compliance with 4-3-2/7.3.3. 
Commentary:
A single slope design may be accepted where adequate technical documentation is submitted to justify that a single slope design provides an equivalent or better design.

End of Commentary



The aftmost intermediate shaft bearing is to serve as the second fixed point of reference when sighting is conducted.
The intermediate shaft bearing is to be chocked and its offset not changed after the bore sighting is complete, except as agreed to by the attending Surveyor based on the clearance measurements identified in 7.3.4 below or otherwise additional measurement and analysis demonstrating that the misalignment meets the criteria identified in 4-3-2/7.3.2(a)vi) are to be submitted for review.
The forced stern tube lubrication system is to be designed with the lubricant supply entering at the aft of the aft stern tube bearing.




Stern Tube Bearing Fitting Pressure Verification (if applicable) . The stern tube bearing fitting pressure is to be verified to comply with calculated values.





Tail Shaft Bearing Clearance Measurement. 
The clearance between the propeller shaft and the stern tube bearings is to be measured after the propeller shaft is fitted, before propeller is installed, and with shaft unrestrained on the forward flange. The attending Surveyor is to verify that the final alignment does not exceed the criteria identified in 4-3-2/7.3.4.i (4th bullet). 
Commentary:

The measurement results without the Surveyor's attendance may be accepted provided the measurement procedure is approved by the Surveyor prior to conducting the measurement on a case-by-case basis.


End of Commentary





Sag and Gap. The sag and gap procedure is to be verified against the respective analysis (e.g., based on dry dock or light ship draft condition). Acceptable tolerances are +0.1 mm.



Bearing Load Measurements. Identification of the bearings at which the measurements are to be taken, the jack up locations, the data to be recorded and the procedures to be followed is to be reported in the submitted procedure.",4-3-2/7.3.4 7.3.4,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '7 Propulsion Shaft Alignment and Vibrations ', '7.3 Shaft Alignment  (2024)', '7.3.4 Shaft Alignment Procedure  (2024)']",standalone,
